contractSymbol,expiration,DTE,option_type,strike,spot,bid,ask,mid,contract_cost,volume,open_interest,spread_pct,IV,BS_value,mispricing_vs_mid,delta,gamma,theta_per_day,theta_pct_of_premium,vega_per_vol_point,probability_ITM,probability_touch_approx,expected_move,scenario_spot_1sigma,scenario_value_after_1day,scenario_return_after_1day,technical_score,technical_direction,liquidity_score,decision_score,target_100pct_scenario,within_risk_budget,passes_liquidity_filter,distance_from_spot_pct
QQQ260723C00703000,2026-07-23,0.9189696845949074,call,703.0,705.27001953125,6.5,6.86,6.68,668.0,3671,951,0.053892215568862326,0.2696606237792969,5.085182911428888,-0.2387450731393881,0.5996531672885235,0.040493599731871936,-2.0520828501960215,0.3071980314664703,0.13674866219995818,0.5944232719444875,1.0,9.542828474093245,714.8128480053432,11.812901393726747,0.7683984122345431,-95.0,bearish,0.9326347305389221,51.13350248323377,False,False,True,0.003218653095106383
QQQ260723P00685000,2026-07-23,0.9189696845949074,put,685.0,705.27001953125,0.2,0.24,0.22,22.0,8299,2444,0.18181818181818174,0.2368240380859375,0.01857785558620062,-0.9155552018809063,-0.006784321195735473,0.002261806020512271,-0.08590939891946663,0.3904972678157574,0.006708111978084289,0.007012993339450065,0.01402598667890013,8.380797842572282,696.8892216886777,0.0,-1.0,-95.0,bearish,0.7727272727272728,51.06483264317689,False,True,True,0.028740792845160512
QQQ260723P00699000,2026-07-23,0.9189696845949074,put,699.0,705.27001953125,1.25,1.4,1.325,132.5,5433,760,0.11320754716981125,0.18091639404296872,0.5362695459980245,-0.5952682671713023,-0.1588112271559976,0.03781840420494255,-0.8310854752388124,0.6272343209349528,0.085684109622257,0.16102119911708013,0.32204239823416025,6.402321897454809,698.8676976337952,0.15480285214312062,-0.883167658759909,-95.0,bearish,0.858490566037736,50.52177436868074,False,False,True,0.008890239706229486
QQQ260723C00704000,2026-07-23,0.9189696845949074,call,704.0,705.27001953125,5.73,6.26,5.995,599.5,2574,606,0.0884070058381984,0.26709717285156254,4.475552048158477,-0.25345253575338167,0.5590978440128052,0.04174209304065473,-2.071748381812014,0.3455793797851566,0.13962483690315694,0.5538118830983954,1.0,9.452112328138078,714.7221318593881,10.722185334251094,0.7885213234780808,-95.0,bearish,0.889491242702252,49.20874420801526,False,False,True,0.0018007564423255795
QQQ260723P00694000,2026-07-23,0.9189696845949074,put,694.0,705.27001953125,0.61,0.66,0.635,63.5,6391,1584,0.07874015748031503,0.1948322705078125,0.1384267125923273,-0.782005177019957,-0.04815931884296781,0.014516943867411229,-0.371739113049435,0.5854159260621024,0.03542054629867299,0.049146418655124834,0.09829283731024967,6.8947809754971505,698.3752385557528,2.385806244454773e-123,-1.0,-95.0,bearish,0.9015748031496063,48.7852651754736,False,False,True,0.015979722970133503
QQQ260723P00698000,2026-07-23,0.9189696845949074,put,698.0,705.27001953125,1.1,1.27,1.185,118.5,6124,1013,0.1434599156118143,0.18775226318359373,0.4441527106475007,-0.6251875859514762,-0.13236695442364763,0.03223806953162553,-0.7640469154631585,0.644765329504775,0.07580072758298657,0.13439717049187583,0.26879434098375166,6.644231620001923,698.625787911248,1.235988545242317e-05,-0.9999895697169178,-95.0,bearish,0.8206751054852321,48.27886175971496,False,False,True,0.01030813635901029
QQQ260723P00691000,2026-07-23,0.9189696845949074,put,691.0,705.27001953125,0.42,0.47,0.44499999999999995,44.49999999999999,6831,1237,0.11235955056179774,0.20996883789062498,0.07137209527110144,-0.8396132690537046,-0.025291019216254654,0.007942279119022717,-0.2366212877697138,0.5317332309431771,0.02088426311177275,0.025919535170354852,0.051839070340709704,7.430438218280046,697.8395813129699,4.9285967929700955e-256,-1.0,-95.0,bearish,0.8595505617977528,48.01706962993038,False,False,True,0.020233412928475802
QQQ260723C00705000,2026-07-23,0.9189696845949074,call,705.0,705.27001953125,5.08,5.57,5.325,532.5,9045,912,0.09201877934272304,0.2589795782470704,3.8283253600085345,-0.28106566009229406,0.5174279025164942,0.0434875076243239,-2.0269119680331205,0.38064074517053903,0.14104224206734908,0.5122538658537745,1.0,9.164844532613381,714.4348640638634,9.434917627075606,0.77181551682171,-95.0,bearish,0.8849765258215962,47.82530382728009,False,False,True,0.00038285978954477606
QQQ260723P00695000,2026-07-23,0.9189696845949074,put,695.0,705.27001953125,0.71,0.8,0.755,75.5,10113,1918,0.11920529801324514,0.1947102014160156,0.19514550995459956,-0.7415291258879476,-0.06468043534375027,0.018331064012272687,-0.46851287522149615,0.6205468545980082,0.0446987672544224,0.06592447212844386,0.13184894425688773,6.8904611590230935,698.3795583722269,3.264989490364474e-75,-1.0,-95.0,bearish,0.8509933774834436,47.75788844625767,False,False,True,0.0145618263173527
QQQ260723P00692000,2026-07-23,0.9189696845949074,put,692.0,705.27001953125,0.48,0.54,0.51,51.0,5203,1138,0.11764705882352951,0.20655090332031245,0.09280891562394089,-0.8180217340707041,-0.03232621490450123,0.009901928336544425,-0.2853372373467266,0.5594847791112286,0.02561332990967743,0.033083978084593735,0.06616795616918747,7.3094833570064885,697.9605361742435,1.4219968079481022e-201,-1.0,-95.0,bearish,0.8529411764705881,47.75065529999135,False,False,True,0.018815516275695
QQQ260723P00693000,2026-07-23,0.9189696845949074,put,693.0,705.27001953125,0.54,0.61,0.575,57.49999999999999,2946,322,0.12173913043478253,0.20215641601562498,0.11751317644501924,-0.7956292583564882,-0.04047196042448501,0.01216087496387954,-0.3354893397604851,0.5834597213225828,0.03078729396931363,0.04136280075403509,0.08272560150807018,7.153969963940487,698.1160495673095,8.895675002488534e-156,-1.0,-95.0,bearish,0.8478260869565218,47.57418054098532,False,False,True,0.017397619622914307
QQQ260723C00706000,2026-07-23,0.9189696845949074,call,706.0,705.27001953125,4.57,4.81,4.6899999999999995,468.99999999999994,13085,829,0.05117270788912566,0.2461012890625,3.1564827395515636,-0.32697596171608445,0.47231178106877886,0.04569660259638341,-1.9219333173726385,0.4097938843012023,0.14083706541450713,0.46740544063490147,0.9348108812698029,8.70910389460051,713.9791234258505,7.979177079014676,0.7013170744167754,-95.0,bearish,0.9360341151385929,47.18796610190304,False,False,True,0.0010350368632359164
QQQ260723P00697000,2026-07-23,0.9189696845949074,put,697.0,705.27001953125,0.95,1.12,1.0350000000000001,103.50000000000001,6030,553,0.16425120772946872,0.1920246813964844,0.3528206578269959,-0.6591104755294726,-0.10758634562396695,0.027232869548110116,-0.6758607464772257,0.6530055521519088,0.06548919088836634,0.10938146618774408,0.21876293237548816,6.795425196593872,698.4745943346561,1.6539260540796695e-17,-1.0,-95.0,bearish,0.7946859903381641,47.17629360899908,False,False,True,0.011726033011791093
QQQ260723P00690000,2026-07-23,0.9189696845949074,put,690.0,705.27001953125,0.37,0.43,0.4,40.0,12284,2478,0.15,0.215828154296875,0.059078593767967646,-0.8523035155800809,-0.02087755817299019,0.006574214645338711,-0.20704334734304322,0.517608368357608,0.01776933365500544,0.02142763691691786,0.04285527383383572,7.637789409034716,697.6322301222153,1.911090642039999e-301,-1.0,-95.0,bearish,0.8125,47.12746905476229,False,False,True,0.021651309581256606
QQQ260723P00696000,2026-07-23,0.9189696845949074,put,696.0,705.27001953125,0.81,0.98,0.895,89.5,3953,1921,0.1899441340782122,0.19568675415039063,0.2766378638789746,-0.6909074146603635,-0.08649241525914307,0.022765142646608078,-0.5872737613484462,0.6561718003893253,0.05578930761259205,0.0880518508789907,0.1761037017579814,6.92501969081554,698.3449998404344,8.9988515183047e-38,-1.0,-95.0,bearish,0.7625698324022347,46.07571566173126,False,False,True,0.013143929664571896
QQQ260723C00707000,2026-07-23,0.9189696845949074,call,707.0,705.27001953125,3.9,4.2,4.05,405.0,21841,999,0.07407407407407414,0.23889921264648437,2.611910314681097,-0.3550838729182476,0.4246557495374696,0.04634390839916158,-1.8347290072453548,0.453019507961816,0.13865212863860213,0.41996986808402087,0.8399397361680417,8.454234722631227,713.7242542538812,6.724307995086292,0.6603229617497017,-95.0,bearish,0.9074074074074073,44.961170175208416,False,False,True,0.002452933516016831
QQQ260723C00708000,2026-07-23,0.9189696845949074,call,708.0,705.27001953125,3.33,3.7,3.515,351.5,26590,647,0.10526315789473686,0.23535920898437498,2.167199822715986,-0.3834424401945986,0.3772478744012518,0.04561212271403261,-1.7504839332877915,0.49800396395100754,0.13444066306135444,0.3727744579529325,0.745548915905865,8.328960044883615,713.5989795761336,5.599033404146894,0.5928971277800552,-95.0,bearish,0.868421052631579,42.33818475738053,False,False,True,0.0038708301687975233
QQQ260723C00709000,2026-07-23,0.9189696845949074,call,709.0,705.27001953125,2.84,3.18,3.01,301.0,16170,749,0.11295681063122934,0.2291336853027344,1.7369275820428811,-0.42294764716183353,0.32841592775388523,0.04457532508591034,-1.6198007501682927,0.5381397841090674,0.12790944815571412,0.32427507348205964,0.6485501469641193,8.10864940470678,713.3786689359567,4.378722851682255,0.45472519989443705,-95.0,bearish,0.8588039867109634,39.85335136206604,False,False,True,0.005288726821578438
QQQ260723C00710000,2026-07-23,0.9189696845949074,call,710.0,705.27001953125,2.4,2.55,2.4749999999999996,247.49999999999997,28884,2757,0.06060606060606058,0.21521780883789063,1.268761585324711,-0.48736905643446016,0.2728371907173197,0.04363991876325098,-1.3982304364520752,0.564941590485687,0.11762003514648248,0.26926308153689926,0.5385261630737985,7.616190326664438,712.8862098579144,2.8862638639410534,0.16616721775396104,-95.0,bearish,0.9242424242424243,37.87014232908934,False,False,True,0.00670662347435913
