contractSymbol,expiration,DTE,option_type,strike,spot,bid,ask,mid,contract_cost,volume,open_interest,spread_pct,IV,BS_value,mispricing_vs_mid,delta,gamma,theta_per_day,theta_pct_of_premium,vega_per_vol_point,probability_ITM,probability_touch_approx,expected_move,scenario_spot_1sigma,scenario_value_after_1day,scenario_return_after_1day,technical_score,technical_direction,liquidity_score,decision_score,target_100pct_scenario,within_risk_budget,breakeven_price,breakeven_move_pct,max_loss_dollars,passes_liquidity_filter,distance_from_spot_pct
QQQ260724P00750000,2026-07-24,1.805637867337963,put,750.0,705.27001953125,41.74,45.0,43.370000000000005,4337.0,244,239,0.07516716624394737,0.459966337890625,44.844164550613414,0.033990420811930155,-0.9698173223273895,0.0029951275061921062,-0.35128713650362065,0.008099772573290767,0.03389924299891439,0.9719860144114616,1.0,22.81657048573661,682.4534490455134,67.47961311573397,0.5559053058735062,-95.0,bearish,0.9060410421950658,83.47724544555436,False,False,706.63,0.0019283117544879325,4337.0,True,0.0634224895855906
QQQ260724P00713000,2026-07-24,1.805637867337963,put,713.0,705.27001953125,7.94,8.38,8.16,816.0,487,868,0.053921568627451025,0.15284050292968754,8.229078369253784,0.008465486428159918,-0.838950214467427,0.03222615041048307,-0.4470910958508067,0.054790575471912586,0.12119801945554542,0.8415835572272795,1.0,7.581633308565917,697.6883862226841,15.250359866292683,0.868916650280966,-95.0,bearish,0.9325980392156863,83.02017050934663,False,False,704.84,-0.0006097232539896691,816.0,True,0.01096031343270143
QQQ260724P00715000,2026-07-24,1.805637867337963,put,715.0,705.27001953125,8.8,9.8,9.3,930.0000000000001,5929,5417,0.1075268817204301,0.11646391357421876,9.708722380558129,0.04394864307076651,-0.9499344161966119,0.017863794128414545,-0.09048173400484126,0.009729218710197985,0.051193370032942574,0.9507976315566995,1.0,5.77717731540341,699.4928422158466,15.443892172400524,0.6606335669247874,-95.0,bearish,0.8655913978494624,82.9263788471865,False,False,705.7,0.0006096678674019085,930.0000000000001,True,0.013796106738263036
QQQ260724P00712000,2026-07-24,1.805637867337963,put,712.0,705.27001953125,7.35,7.76,7.555,755.5,2541,2028,0.05426869622766382,0.1656577575683594,7.584594225806313,0.003917170854574881,-0.7858866835948546,0.035469293959935144,-0.6015537194936894,0.07962325870201051,0.14458157682771164,0.7892865157303773,1.0,8.21743156119029,697.0525879700597,14.889925521785358,0.9708703536446537,-95.0,bearish,0.9321641297154202,82.39691601286022,False,False,704.445,-0.0011697924318381236,755.5,True,0.009542416779920737
QQQ260724P00720000,2026-07-24,1.805637867337963,put,720.0,705.27001953125,13.05,15.14,14.095,1409.5,154,2413,0.1482795317488471,0.2111895288085937,14.994190663790619,0.06379500984679809,-0.9147641305644958,0.01488134459227746,-0.3796955993396282,0.02693831850582676,0.07733270287909413,0.9170790015683281,1.0,10.476029163370203,694.7939903678798,25.14246121385213,0.7837858257433223,-95.0,bearish,0.8146505853139412,81.8821140575426,False,False,705.905,0.0009003366812216917,1409.5,True,0.020885590002166943
QQQ260724P00711000,2026-07-24,1.805637867337963,put,711.0,705.27001953125,6.78,7.18,6.98,698.0,1271,1440,0.057306590257879576,0.17627776855468752,6.983506734837192,0.0005023975411448944,-0.7357914494424233,0.037399034485334146,-0.734120788173463,0.10517489801912078,0.16222081153111084,0.7398484461012402,1.0,8.744235827650485,696.5257837035995,14.42398770740408,1.0664738835822463,-95.0,bearish,0.9283667621776506,81.7140477426016,True,False,704.02,-0.0017723985092700234,698.0,True,0.008124520127139823
QQQ260724P00724000,2026-07-24,1.805637867337963,put,724.0,705.27001953125,16.03,18.67,17.35,1735.0000000000002,33,340,0.15216138328530263,0.14649291015625,18.599936426172235,0.07204244531252058,-0.9940993053352087,0.002296863888743721,0.045541085268108,0.0026248464131474352,0.008279431197109772,0.994293656228742,1.0,7.266761792980512,698.0032577382694,25.932537642032912,0.49467075746587374,-95.0,bearish,0.8097982708933718,81.64506179474996,False,False,706.65,0.0019566696875434886,1735.0000000000002,True,0.026557176613290157
QQQ260724P00721000,2026-07-24,1.805637867337963,put,721.0,705.27001953125,13.24,16.0,14.620000000000001,1462.0,25,440,0.18878248974008205,0.20386538330078124,15.870166076324608,0.08551067553519887,-0.9353944320784986,0.012475189306471499,-0.2790293792682221,0.019085456858291522,0.06258053444342476,0.9372069682132506,1.0,10.112715876156276,695.1573036550938,25.778872792781954,0.763260792939942,-95.0,bearish,0.7640218878248974,81.21379450511299,False,False,706.38,0.0015738375912925928,1462.0,True,0.022303486654947857
QQQ260724P00735000,2026-07-24,1.805637867337963,put,735.0,705.27001953125,26.92,28.61,27.765,2776.5,43,157,0.060867999279668565,1.0000000000000003e-05,29.583822679579498,0.06550775002987574,-0.9999752655405958,0.0,0.08093527403540929,0.00291501077022904,0.0,1.0,1.0,0.000496048701963102,705.269523482548,29.665259515601974,0.068440825341328,-95.0,bearish,0.9239150009004142,81.19708874591484,False,False,707.235,0.0027861392294201703,2776.5,True,0.042154039793878884
QQQ260724P00716000,2026-07-24,1.805637867337963,put,716.0,705.27001953125,9.69,11.41,10.55,1055.0,363,1003,0.16303317535545028,0.19214675048828128,11.243539817942974,0.06573837136900229,-0.863411285092144,0.02295948067137493,-0.509466171846097,0.048290632402473645,0.10855347727071321,0.8663683093728358,1.0,9.531414616613995,695.738604914636,20.199277831557424,0.9146234911428837,-95.0,bearish,0.7962085308056872,81.15778708716495,False,False,705.45,0.00025519370420656884,1055.0,True,0.015214003391043951
QQQ260724P00710000,2026-07-24,1.805637867337963,put,710.0,705.27001953125,6.15,6.64,6.395,639.5,9800,10503,0.0766223612197028,0.18567708862304685,6.426536281352071,0.004931396614866523,-0.6879679325727316,0.038410363285261984,-0.8483390567398933,0.13265661559654313,0.17549120969466953,0.6925903504397241,1.0,9.210487879575023,696.059531651675,13.902636159891017,1.173985326018924,-95.0,bearish,0.9042220484753716,80.72791732912931,True,False,703.605,-0.002360825620174034,639.5,True,0.00670662347435913
QQQ260724P00730000,2026-07-24,1.805637867337963,put,730.0,705.27001953125,22.04,23.95,22.994999999999997,2299.4999999999995,66,155,0.08306153511632965,1.0000000000000003e-05,24.584935620136207,0.06914266667259006,-0.9999752655405958,0.0,0.08031897289109437,0.003492888579738829,0.0,1.0,1.0,0.000496048701963102,705.269523482548,24.665756117021715,0.07265736538472356,-95.0,bearish,0.8961730811045879,80.66458183885918,False,False,707.005,0.002460022999280609,2299.4999999999995,True,0.03506455652997498
QQQ260724P00709000,2026-07-24,1.805637867337963,put,709.0,705.27001953125,5.79,6.14,5.965,596.5,5161,1369,0.05867560771165124,0.19422192504882813,5.911093837857436,-0.009037076637479213,-0.6423606136197987,0.03874147001882863,-0.9453968278238434,0.1584906668606611,0.18514968824564323,0.6474625608417832,1.0,9.634353381324605,695.6356661499254,13.345894696108076,1.2373670907138434,-95.0,bearish,0.9266554903604359,80.43823496019672,True,False,703.035,-0.0031690267122591598,596.5,True,0.005288726821578438
QQQ260724P00708000,2026-07-24,1.805637867337963,put,708.0,705.27001953125,5.34,5.67,5.505,550.5,8541,720,0.05994550408719347,0.20191227783203125,5.430457578295943,-0.013540857711908605,-0.599080423544633,0.038595008152373086,-1.025150562039805,0.1862217188083206,0.19175314703427587,0.6045751356336637,1.0,10.01583233289923,695.2541871983508,12.755637476823381,1.3171003590959822,-95.0,bearish,0.9250681198910082,79.80298364971678,True,False,702.495,-0.003934690904760729,550.5,True,0.0038708301687975233
QQQ260724P00707000,2026-07-24,1.805637867337963,put,707.0,705.27001953125,4.94,5.23,5.085000000000001,508.5000000000001,11974,2334,0.05703048180924287,0.20887021606445308,4.98150542156219,-0.020352916113630437,-0.5580063049302595,0.03809542851493755,-1.0886941659514116,0.2140991476797269,0.19579338469518592,0.563812376288832,1.0,10.360979955752459,694.9090395754976,12.139965789506846,1.387407234907934,-95.0,bearish,0.9287118977384464,79.25054223646785,True,False,701.915,-0.004757070963373633,508.5000000000001,True,0.002452933516016831
QQQ260724P00725000,2026-07-24,1.805637867337963,put,725.0,705.27001953125,17.04,19.61,18.325,1832.5,73,2736,0.14024556616643932,1.0000000000000003e-05,19.586048560692916,0.06881574683181002,-0.9999752655405958,0.0,0.07970267174677945,0.004349395456850175,0.0,1.0,1.0,0.000496048701963102,705.269523482548,19.666252718441342,0.07319250850975956,-95.0,bearish,0.8246930422919508,79.22998361466891,False,False,706.675,0.0019921171038630447,1832.5,True,0.02797507326607085
QQQ260724P00706000,2026-07-24,1.805637867337963,put,706.0,705.27001953125,4.53,4.78,4.655,465.5,8313,2897,0.05370569280343716,0.2133867724609375,4.526136725650133,-0.02768276570351602,-0.5192243484394531,0.037644558289787876,-1.127263702195385,0.2421619123942825,0.19765979259109964,0.5252153529975004,1.0,10.585023149534385,694.6849963817156,11.414637818408778,1.4521241285518318,-95.0,bearish,0.9328678839957035,78.7125398062668,True,False,701.345,-0.005565272055458537,465.5,True,0.0010350368632359164
QQQ260724P00705000,2026-07-24,1.805637867337963,put,705.0,705.27001953125,4.14,4.44,4.29,429.0,14362,8805,0.0699300699300701,0.2215654016113281,4.181532445403832,-0.02528381226017906,-0.482016917295559,0.036260360779313015,-1.175126650341207,0.27392229611683144,0.19768908911826977,0.4882414613133147,0.9764829226266294,10.990722986923268,694.2792965443267,10.89010573482335,1.5384861852735083,-95.0,bearish,0.9125874125874124,77.82559575200295,True,False,700.71,-0.006465636429974331,429.0,True,0.00038285978954477606
QQQ260724P00704000,2026-07-24,1.805637867337963,put,704.0,705.27001953125,3.82,4.09,3.955,395.5,4633,1474,0.06826801517067003,0.22754678710937498,3.828822493448797,-0.03190328863494385,-0.447092001006086,0.03503193377261208,-1.2009012426029366,0.3036412749944214,0.1961478056750808,0.453438155475702,0.906876310951404,11.287428838147974,693.982590693102,10.272597077109594,1.597369678156661,-95.0,bearish,0.9146649810366625,77.26644783468082,True,False,700.045,-0.007408537704073681,395.5,True,0.0018007564423255795
QQQ260724P00703000,2026-07-24,1.805637867337963,put,703.0,705.27001953125,3.52,3.77,3.645,364.5,2889,1254,0.06858710562414266,0.23346713806152342,3.507377872008135,-0.03775641371518934,-0.41425464499632075,0.0336482771526542,-1.2172400199060536,0.33394787926092007,0.19330239154598886,0.4206750874004689,0.8413501748009378,11.5811070786459,693.6889124526041,9.672012800483571,1.6535014541793065,-95.0,bearish,0.9142661179698217,76.67435500932532,True,False,699.355,-0.008386886394492366,364.5,True,0.003218653095106383
QQQ260724P00702000,2026-07-24,1.805637867337963,put,702.0,705.27001953125,3.15,3.47,3.31,331.0,3158,1892,0.09667673716012093,0.23902128173828124,3.2087063243910166,-0.03060231891510079,-0.38337094995677373,0.03219836284719758,-1.223388802709472,0.369603867888058,0.1893734085694833,0.38981432314524384,0.7796286462904877,11.85661965478313,693.4133998764669,9.074885060483098,1.7416571179707243,-95.0,bearish,0.8791540785498488,75.5860434748261,True,False,698.69,-0.009329787668591494,331.0,True,0.0046365497478871864
QQQ260724P00701000,2026-07-24,1.805637867337963,put,701.0,705.27001953125,2.94,3.19,3.065,306.5,1882,1400,0.08156606851549755,0.24420921813964847,2.930701483803176,-0.04381680789455911,-0.3543171810012063,0.030710952613706086,-1.2202270999020592,0.398116508940313,0.18454571944416426,0.3607364820270937,0.7214729640541874,12.113966566559661,693.1560529646904,8.483108624138481,1.76773527704355,-95.0,bearish,0.898042414355628,75.27098135187498,True,False,697.935,-0.01040029964144118,306.5,True,0.00605444640066799
QQQ260724P00700000,2026-07-24,1.805637867337963,put,700.0,705.27001953125,2.72,2.85,2.785,278.5,27120,29354,0.04667863554757626,0.24500266723632813,2.5995852587100217,-0.06657620872171577,-0.32441885233155043,0.029592324396281046,-1.1849488448090797,0.4254753482258814,0.178401510255088,0.33064856355197714,0.6612971271039543,12.153325506007835,693.1166940252422,7.701746633517359,1.7654386475825348,-95.0,bearish,0.9416517055655297,75.25250955064155,True,False,697.215,-0.011421185231443198,278.5,True,0.007472343053448793
QQQ260724P00699000,2026-07-24,1.805637867337963,put,699.0,705.27001953125,2.5,2.69,2.5949999999999998,259.5,1517,4399,0.07321772639691713,0.25403578002929694,2.4392669843325336,-0.06001272280056502,-0.3015946303764886,0.027657253440052328,-1.1925381363200784,0.4595522683314368,0.17288311308145698,0.30785810758688814,0.6157162151737763,12.601411893571683,692.6686076376783,7.349464882595953,1.8321637312508492,-95.0,bearish,0.9084778420038536,74.23728785017278,True,False,696.405,-0.012569681520195775,259.5,True,0.008890239706229486
QQQ260724P00698000,2026-07-24,1.805637867337963,put,698.0,705.27001953125,2.28,2.48,2.38,238.0,1877,4596,0.08403361344537823,0.2594068200683594,2.2344722227359455,-0.06114612490086324,-0.2783008777434121,0.026082422226163315,-1.1741251998790172,0.4933299159155535,0.16648608702077383,0.284464088674381,0.568928177348762,12.867841637528562,692.4021778937214,6.844906832795573,1.8760112742838544,-95.0,bearish,0.8949579831932772,73.45355077342333,True,False,695.62,-0.013682730392628573,238.0,True,0.01030813635901029
QQQ260724P00697000,2026-07-24,1.805637867337963,put,697.0,705.27001953125,2.06,2.27,2.165,216.5,2597,1186,0.09699769053117781,0.26367923828125,2.0311358199880374,-0.061831030028620115,-0.25592044195326386,0.0245960757438533,-1.1451834864773236,0.52895311153687,0.15958438426173407,0.2619293940690058,0.5238587881380116,13.07977438840335,692.1902451428466,6.3164020651529995,1.9175067275533486,-95.0,bearish,0.8787528868360277,72.59915935308763,True,False,694.835,-0.014795779265061482,216.5,True,0.011726033011791093
QQQ260724P00696000,2026-07-24,1.805637867337963,put,696.0,705.27001953125,1.89,2.08,1.9849999999999999,198.5,3494,1220,0.09571788413098246,0.26807372558593745,1.8483953055944369,-0.0688184858466312,-0.23524736349508338,0.0231224260211214,-1.1138074328851961,0.5611120568691165,0.1525233318209509,0.24109002577414307,0.48218005154828614,13.297762360731705,691.9722571705183,5.82279438766102,1.9333976764035365,-95.0,bearish,0.880352644836272,71.99871735287404,True,False,694.015,-0.015958454520341836,198.5,True,0.013143929664571896
QQQ260724P00695000,2026-07-24,1.805637867337963,put,695.0,705.27001953125,1.73,1.91,1.8199999999999998,181.99999999999997,4679,8781,0.09890109890109887,0.27259028198242186,1.6843670487353677,-0.07452359959595178,-0.21621943520820852,0.021679574379955095,-1.080719629325628,0.5938019941349605,0.1454151835119575,0.22188745043091712,0.44377490086183424,13.52180555451363,691.7482139767363,5.363717467100287,1.9470975093957623,-95.0,bearish,0.8763736263736264,71.29951832404635,True,False,693.18,-0.017142398225413746,181.99999999999997,True,0.0145618263173527
QQQ260724P00694000,2026-07-24,1.805637867337963,put,694.0,705.27001953125,1.61,1.74,1.675,167.5,1970,4650,0.0776119402985074,0.27625235473632803,1.523783503289593,-0.0902785054987505,-0.1979462219854424,0.02030312772889663,-1.0402673218656395,0.621055117531725,0.13801222910818914,0.20340164272568256,0.4068032854513651,13.703462198120588,691.5665573331294,4.897016122360412,1.9235917148420372,-95.0,bearish,0.9029850746268657,71.03279460401396,True,False,692.325,-0.018354699863541213,167.5,True,0.015979722970133503
QQQ260724P00693000,2026-07-24,1.805637867337963,put,693.0,705.27001953125,1.43,1.61,1.52,152.0,1233,2120,0.11842105263157905,0.28162339477539056,1.4006640010672413,-0.07851052561365701,-0.18247855520707987,0.018944646960377357,-1.0095161118170999,0.6641553367217762,0.13128160597698768,0.18777241379439297,0.37554482758878593,13.969891942077469,691.3001275891726,4.530887903002792,1.9808473046071002,-95.0,bearish,0.8519736842105262,69.65068395692796,True,False,691.48,-0.019552822535141012,152.0,True,0.017397619622914307
QQQ260724P00692000,2026-07-24,1.805637867337963,put,692.0,705.27001953125,1.3,1.48,1.3900000000000001,139.0,978,1221,0.12949640287769779,0.28613995117187496,1.2783060201973768,-0.08035538115296637,-0.16759153132289806,0.017665415219054192,-0.9724169673295554,0.6995805520356513,0.12438012346840507,0.1726910236358054,0.3453820472716108,14.193935135859395,691.0760843953906,4.155891064215723,1.9898496864861315,-95.0,bearish,0.8381294964028778,68.77793612365802,True,False,690.61,-0.020786392623060368,139.0,True,0.018815516275695
QQQ260724P00691000,2026-07-24,1.805637867337963,put,691.0,705.27001953125,1.21,1.35,1.28,128.0,732,5350,0.1093750000000001,0.2898020239257812,1.1572996085040614,-0.095859680856202,-0.15321264554817574,0.016449024849656445,-0.9293218454103772,0.7260326917268571,0.11729789162256164,0.15808668622950756,0.3161733724590151,14.375591779466356,690.8944277517836,3.775100517671774,1.9492972794310734,-95.0,bearish,0.8632812499999999,68.45401367019541,True,False,689.72,-0.02204832064403517,128.0,True,0.020233412928475802
QQQ260724P00690000,2026-07-24,1.805637867337963,put,690.0,705.27001953125,1.11,1.2,1.155,115.5,12566,13965,0.0779220779220778,0.29090064575195307,1.0195963461526247,-0.11723260073365827,-0.13791214269473132,0.015267376603723347,-0.8695375296043838,0.7528463459778214,0.10928429096896225,0.14247359106967183,0.28494718213934367,14.430088772548444,690.8399307587016,3.330850726299218,1.8838534426833053,-95.0,bearish,0.9025974025974027,68.22364603145196,True,False,688.845,-0.023288980215218413,115.5,True,0.021651309581256606
QQQ260724P00689000,2026-07-24,1.805637867337963,put,689.0,705.27001953125,1.01,1.15,1.08,108.0,729,1489,0.12962962962962954,0.29932341308593746,0.9715259463639399,-0.10043893855190755,-0.1295423476885555,0.014212617816251326,-0.8575156535256293,0.7939959754866938,0.10467992470195991,0.13404124386945654,0.2680824877389131,14.847899052844463,690.4221204784055,3.172808899454708,1.9377860180136182,-95.0,bearish,0.837962962962963,66.71036450187225,True,False,687.92,-0.02460053461904077,108.0,True,0.02306920623403741
QQQ260724P00688000,2026-07-24,1.805637867337963,put,688.0,705.27001953125,0.91,1.06,0.9850000000000001,98.50000000000001,1376,3068,0.15228426395939088,0.3039620385742187,0.8900734589306865,-0.09637212291300878,-0.11908054425633736,0.013195158853184546,-0.8213809888766251,0.8338893288087564,0.09869214917811543,0.12339085375626557,0.24678170751253115,15.077997468079952,690.19202206317,2.9016458825828977,1.9458333833328907,-95.0,bearish,0.8096446700507614,65.58570641027224,True,False,687.015,-0.02588373108980735,98.50000000000001,True,0.024487102886818213
QQQ260724P00686000,2026-07-24,1.805637867337963,put,686.0,705.27001953125,0.78,0.9,0.8400000000000001,84.00000000000001,1056,1362,0.14285714285714285,0.3127510131835937,0.7446300223465414,-0.11353568768268885,-0.10037808828958461,0.011343405305426662,-0.7481623300351836,0.8906694405180756,0.08729528964007979,0.10430643356862551,0.20861286713725102,15.513973412736663,689.7560461185134,2.407783678083206,1.8664091405752448,-95.0,bearish,0.8214285714285714,64.3423999652648,True,False,685.16,-0.02851392938071573,84.00000000000001,True,0.02732289619237982
QQQ260724P00685000,2026-07-24,1.805637867337963,put,685.0,705.27001953125,0.72,0.83,0.7749999999999999,77.49999999999999,5250,27966,0.14193548387096774,0.3171455004882812,0.6817805634305785,-0.12028314396054385,-0.09219196189317982,0.010508145815747763,-0.7129540700580607,0.9199407355587881,0.08200366822805064,0.09593669353305379,0.19187338706610757,15.73196138506502,689.538058146185,2.1908831109343225,1.8269459495926745,-95.0,bearish,0.8225806451612904,63.642245748916835,True,False,684.225,-0.029839662751065643,77.49999999999999,True,0.028740792845160512
QQQ260724P00680000,2026-07-24,1.805637867337963,put,680.0,705.27001953125,0.5,0.55,0.525,52.5,14030,29862,0.09523809523809532,0.33765310791015624,0.4348319099795859,-0.17174874289602693,-0.059778231432013496,0.007091505784884958,-0.5462200218475913,1.0404190892335072,0.05891933657346968,0.06265310224684496,0.12530620449368993,16.749238589264017,688.520780941986,1.3265205304046788,1.5267057721993882,-95.0,bearish,0.8809523809523809,61.341814811980434,True,False,679.475,-0.03657467185177443,52.5,True,0.03583027610906453
