contractSymbol,expiration,DTE,option_type,strike,spot,bid,ask,mid,contract_cost,volume,open_interest,spread_pct,IV,BS_value,mispricing_vs_mid,delta,gamma,theta_per_day,theta_pct_of_premium,vega_per_vol_point,probability_ITM,probability_touch_approx,expected_move,scenario_spot_1sigma,scenario_value_after_1day,scenario_return_after_1day,technical_score,technical_direction,liquidity_score,decision_score,target_100pct_scenario,within_risk_budget,passes_liquidity_filter,distance_from_spot_pct
QQQ260724P00750000,2026-07-24,1.8236746089467593,put,750.0,705.27001953125,41.74,45.0,43.370000000000005,4337.0,244,239,0.07516716624394737,0.459966337890625,44.8505517002003,0.034137691957581096,-0.9691596850121907,0.0030339961063704326,-0.3569404146464942,0.008230122541998942,0.03468218105140453,0.971378139040241,1.0,22.930246093763685,682.3397734374863,67.5917931280826,0.5584918867438919,-95.0,bearish,0.9060410421950658,83.4810283109121,False,False,True,0.0634224895855906
QQQ260724P00713000,2026-07-24,1.8236746089467593,put,713.0,705.27001953125,7.94,8.38,8.16,816.0,487,868,0.053921568627451025,0.15284050292968754,8.237143864635982,0.009453904979899841,-0.8376896352034506,0.03222975810160231,-0.44724495558280997,0.05480943083122671,0.12242238512266188,0.8403495501712428,1.0,7.619406153381852,697.6506133778681,15.286920707570516,0.8733971455356024,-95.0,bearish,0.9325980392156863,83.02517178299699,False,False,True,0.01096031343270143
QQQ260724P00715000,2026-07-24,1.8236746089467593,put,715.0,705.27001953125,8.8,9.8,9.3,930.0000000000001,5929,5417,0.1075268817204301,0.11646391357421876,9.71036827588307,0.044125621062695686,-0.9490578162577756,0.018022809390711363,-0.09201891860889767,0.009894507377300825,0.05216499881208831,0.9499371830453138,1.0,5.805960087311189,699.4640594439388,15.47126310102692,0.6635766775297762,-95.0,bearish,0.8655913978494624,82.92713772765437,False,False,True,0.013796106738263036
QQQ260724P00712000,2026-07-24,1.8236746089467593,put,712.0,705.27001953125,7.35,7.76,7.555,755.5,2541,2028,0.05426869622766382,0.1656577575683594,7.595435060603904,0.005352092733805991,-0.7846736053508577,0.03540950504204737,-0.6005281662382206,0.07948751373106824,0.14577967136513695,0.7881016180316915,1.0,8.258372049145004,697.011647482105,14.929947479505927,0.9761677669762974,-95.0,bearish,0.9321641297154202,82.40989159747355,False,False,True,0.009542416779920737
QQQ260724P00720000,2026-07-24,1.8236746089467593,put,720.0,705.27001953125,13.05,15.14,14.095,1409.5,154,2413,0.1482795317488471,0.2111895288085937,15.00105879597686,0.0642822842126185,-0.913667051830021,0.014950018537782587,-0.381866556695157,0.027092341730766724,0.07846562617039017,0.9160157060977552,1.0,10.528222326475058,694.7417972047749,25.193269078112735,0.7873904986245288,-95.0,bearish,0.8146505853139412,81.88333906842313,False,False,True,0.020885590002166943
QQQ260724P00711000,2026-07-24,1.8236746089467593,put,711.0,705.27001953125,6.78,7.18,6.98,698.0,1271,1440,0.057306590257879576,0.17627776855468752,6.996728175116118,0.002396586692853475,-0.7346959427231927,0.03729199672954464,-0.7319375157666598,0.10486210827602575,0.16337233422326855,0.7387817687127209,1.0,8.787800934205903,696.4822185970442,14.467096458236142,1.0726499223834014,-95.0,bearish,0.9283667621776506,81.73701568426985,True,False,True,0.008124520127139823
QQQ260724P00724000,2026-07-24,1.8236746089467593,put,724.0,705.27001953125,16.03,18.67,17.35,1735.0000000000002,33,340,0.15216138328530263,0.14649291015625,18.599123455388735,0.07199558820684349,-0.9938831069653191,0.0023597904440522685,0.0446041324553459,0.002570843369184201,0.008591230618046458,0.9940840914643526,1.0,7.302965900242003,697.967053631008,25.96730401520722,0.49667458300906153,-95.0,bearish,0.8097982708933718,81.65476936685639,False,False,True,0.026557176613290157
QQQ260724P00721000,2026-07-24,1.8236746089467593,put,721.0,705.27001953125,13.24,16.0,14.620000000000001,1462.0,25,440,0.18878248974008205,0.20386538330078124,15.875221126743781,0.0858564382177689,-0.9344131546003106,0.012559442533179229,-0.28149054975593607,0.019253799572909444,0.06363252893188025,0.9362559801426938,1.0,10.163098957467543,695.1069205737824,25.827843469779054,0.7666103604500036,-95.0,bearish,0.7640218878248974,81.21542176662277,False,False,True,0.022303486654947857
QQQ260724P00735000,2026-07-24,1.8236746089467593,put,735.0,705.27001953125,26.92,28.61,27.765,2776.5,43,157,0.060867999279668565,1.0000000000000003e-05,29.582362872749968,0.06545517279848623,-0.9999750184680855,0.0,0.08093507496302382,0.002915003600325007,0.0,1.0,1.0,0.0004985200916858453,705.2695210111583,29.663801980926905,0.06838832994514332,-95.0,bearish,0.9239150009004142,81.19673884830598,False,False,True,0.042154039793878884
QQQ260724P00716000,2026-07-24,1.8236746089467593,put,716.0,705.27001953125,9.69,11.41,10.55,1055.0,363,1003,0.16303317535545028,0.19214675048828128,11.252736103131951,0.06661005716890522,-0.8621718232960843,0.022987064886133307,-0.5102547643520662,0.04836538050730485,0.10976955368712467,0.8651619210420187,1.0,9.57890156705552,695.6911179641945,20.245501036949577,0.9190048376255522,-95.0,bearish,0.7962085308056872,81.16212081605141,False,False,True,0.015214003391043951
