contractSymbol,expiration,DTE,option_type,strike,spot,bid,ask,mid,contract_cost,volume,open_interest,spread_pct,IV,BS_value,mispricing_vs_mid,delta,gamma,theta_per_day,theta_pct_of_premium,vega_per_vol_point,probability_ITM,probability_touch_approx,expected_move,scenario_spot_1sigma,scenario_value_after_1day,scenario_return_after_1day,technical_score,technical_direction,liquidity_score,decision_score,target_100pct_scenario,within_risk_budget,passes_liquidity_filter,distance_from_spot_pct
QQQ260723P00712000,2026-07-23,0.8354492449652778,put,712.0,705.27001953125,6.2,6.85,6.525,652.5,1322,489,0.0996168582375478,0.0937590625,6.685460062496304,0.02459158045920362,-0.9818843338461415,0.014061948019883207,-0.0075147357409060585,0.0011516836384530358,0.015010556593970182,0.9820941895166165,1.0,3.1636052100606356,702.1064143211894,9.893531399003564,0.5162500228357951,-95.0,bearish,0.8754789272030652,82.87327898358106,False,False,True,0.009542416779920737
QQQ260723P00711000,2026-07-23,0.8354492449652778,put,711.0,705.27001953125,5.37,5.92,5.645,564.5,3270,482,0.0974313551815766,0.0903411279296875,5.703212047529746,0.01031214305221373,-0.9677459057100066,0.02369323070073106,-0.05625982251003862,0.009966310453505513,0.024369568732283603,0.9680679003401399,1.0,3.0482777384971587,702.2217417927528,8.778204014153744,0.5550405693806455,-95.0,bearish,0.8782108060230293,82.81784815193262,False,False,True,0.008124520127139823
QQQ260723P00710000,2026-07-23,0.8354492449652778,put,710.0,705.27001953125,4.86,5.32,5.09,509.0,8064,912,0.09037328094302553,0.10913976806640624,4.846963457488528,-0.04774784725176273,-0.8961528352184341,0.04897978126121268,-0.32766978613565884,0.06437520356299781,0.06086083684299344,0.897101821281066,1.0,3.6825788320962802,701.5874406991537,8.412505187335114,0.6527515102819479,-95.0,bearish,0.8870333988212181,81.68229576829535,False,False,True,0.00670662347435913
QQQ260723P00709000,2026-07-23,0.8354492449652778,put,709.0,705.27001953125,4.29,4.78,4.535,453.5,15235,903,0.10804851157662629,0.12207909179687501,4.089412680827991,-0.09825519717133613,-0.8117866890827466,0.06549357681105301,-0.6018258760761452,0.13270691864964612,0.09102863927937536,0.8133675907233576,1.0,4.119175688729443,701.1508438425205,7.849102125431386,0.7307832691138669,-95.0,bearish,0.8649393605292172,79.40262496598082,False,False,True,0.005288726821578438
QQQ260723P00708000,2026-07-23,0.8354492449652778,put,708.0,705.27001953125,4.02,4.28,4.15,415.00000000000006,22260,1140,0.06265060240963871,0.13196668823242189,3.4207810213698053,-0.17571541653739642,-0.7238196102644904,0.07509129774188633,-0.8346928683216005,0.20113081164375915,0.11282152865144804,0.7259350103846648,1.0,4.4528015886095,700.8172179426405,7.182728107754201,0.7307778572901689,-95.0,bearish,0.9216867469879516,78.10464607961588,False,False,True,0.0038708301687975233
QQQ260723P00707000,2026-07-23,0.8354492449652778,put,707.0,705.27001953125,3.4,3.8,3.5999999999999996,359.99999999999994,23686,849,0.11111111111111109,0.13910773010253907,2.8238297948202558,-0.21560283477215114,-0.6372116247365166,0.07991471001118179,-1.0041024898680067,0.2789173582966685,0.12656570534127612,0.6397124005426219,1.0,4.693753627411764,700.5762659038382,6.423680229880688,0.7843556194113024,-95.0,bearish,0.8611111111111112,74.74800077951666,False,False,True,0.002452933516016831
QQQ260723P00706000,2026-07-23,0.8354492449652778,put,706.0,705.27001953125,3.09,3.38,3.235,323.5,23200,595,0.08964451313755797,0.14606566833496093,2.3176482575681803,-0.2835708631937619,-0.5522804505854018,0.08024838921994559,-1.1236249208871831,0.347333824076409,0.1334512130681958,0.555049366376501,1.0,4.928527408808841,700.3414921224412,5.658454094660669,0.7491357325071621,-95.0,bearish,0.8879443585780525,72.67244114170806,False,False,True,0.0010350368632359164
QQQ260723P00705000,2026-07-23,0.8354492449652778,put,705.0,705.27001953125,2.8,2.98,2.8899999999999997,288.99999999999994,31240,1370,0.06228373702422151,0.15137567382812503,1.8742559789890265,-0.3514685193809596,-0.4724342857780536,0.07791875202138389,-1.1798386897156996,0.40824868156252586,0.13428766714622398,0.47532270626389006,0.9506454125277801,5.107696873559243,700.1623226576908,4.837623643323241,0.6739182156827825,-95.0,bearish,0.9221453287197231,70.65132865526556,False,False,True,0.00038285978954477606
QQQ260723P00704000,2026-07-23,0.8354492449652778,put,704.0,705.27001953125,2.5,2.7,2.6,260.0,10003,1301,0.07692307692307698,0.16010361389160155,1.5513490651345023,-0.40332728264057605,-0.40086845910518465,0.07155580135509951,-1.2186100849723602,0.46869618652783085,0.130431964852846,0.4038368419389405,0.807673683877881,5.40219380987312,699.8678257213769,4.132120662452053,0.5892771778661741,-95.0,bearish,0.9038461538461537,67.68687923619807,False,False,True,0.0018007564423255795
QQQ260723P00703000,2026-07-23,0.8354492449652778,put,703.0,705.27001953125,2.13,2.3,2.215,221.5,10943,1796,0.07674943566591419,0.16083602844238282,1.1918093873134126,-0.4619370711903329,-0.3318825948406445,0.06688331199124858,-1.1530896049239447,0.5205822144126162,0.1224726635584516,0.334684049162438,0.669368098324876,5.426906839493866,699.8431126917561,3.1568337774541533,0.42520712300413255,-95.0,bearish,0.9040632054176072,64.69550376750229,False,False,True,0.003218653095106383
QQQ260723P00702000,2026-07-23,0.8354492449652778,put,702.0,705.27001953125,1.87,2.01,1.94,194.0,7562,752,0.07216494845360809,0.16492534301757814,0.935516375465852,-0.5177750641928598,-0.27274202944768383,0.05971595638787929,-1.085563741031572,0.559568938676068,0.11212845550070004,0.2753735086281356,0.5507470172562712,5.564887921543026,699.705131609707,2.2948149438070686,0.18289430093147874,-95.0,bearish,0.9097938144329899,61.61861908067168,False,False,True,0.0046365497478871864
QQQ260723P00701000,2026-07-23,0.8354492449652778,put,701.0,705.27001953125,1.62,1.87,1.745,174.5,5769,645,0.14326647564469913,0.17524018127441404,0.7930589617118926,-0.545524950308371,-0.22981216712227556,0.051329498249971205,-1.0561848619499088,0.605263531203386,0.1024091507391892,0.2323672858831362,0.4647345717662724,5.912929755368516,699.3570897758815,1.6428568599380924,-0.05853475075180958,-95.0,bearish,0.8209169054441261,56.91448350949931,False,False,True,0.00605444640066799
QQQ260723C00680000,2026-07-23,0.8354492449652778,call,680.0,705.27001953125,25.56,29.5,27.53,2753.0,53,296,0.14311660007264806,0.6408727319335938,26.54018461431781,-0.035954064136657915,0.8865360257635403,0.008889936198809255,-2.553132684003283,0.09274001758094018,0.06486471129975754,0.8805423028709793,1.0,21.62423833675716,726.8942578680071,46.89430917228299,0.7033893633230288,-95.0,bearish,0.82110424990919,56.33645996861417,False,False,True,0.03583027610906453
QQQ260723P00700000,2026-07-23,0.8354492449652778,put,700.0,705.27001953125,1.5,1.55,1.525,152.5,42921,2344,0.03278688524590167,0.17408052490234377,0.5753105022446476,-0.622747211642854,-0.17990113980878134,0.044657351926124335,-0.9081315542805907,0.5954961011676004,0.08850773080312463,0.18209617060297772,0.36419234120595545,5.8738007918023385,699.3962187394477,0.603734731471377,-0.6041083728056544,-95.0,bearish,0.9590163934426229,55.131567783864966,False,False,True,0.007472343053448793
QQQ260723P00670000,2026-07-23,0.8354492449652778,put,670.0,705.27001953125,0.05,0.06,0.055,5.5,1192,5045,0.18181818181818174,0.304694453125,0.0005289711253930462,-0.9903823431746719,-0.00020548173724324085,7.559878422314151e-05,-0.004766298910313025,0.08665998018750955,0.00026225115597466344,0.00021711054041362147,0.00043422108082724294,10.280957740835197,694.9890617904148,0.0,-1.0,-95.0,bearish,0.7727272727272728,53.96728786347864,False,True,True,0.05000924263687234
QQQ260723P00685000,2026-07-23,0.8354492449652778,put,685.0,705.27001953125,0.2,0.24,0.22,22.0,8299,2444,0.18181818181818174,0.2368240380859375,0.012210101333975043,-0.9444995393910225,-0.004832928892376357,0.0017555510272903648,-0.06671421899777938,0.30324644998990624,0.004733444519641337,0.004994280745999171,0.009988561491998341,7.9908836626461595,697.2791358686038,0.0,-1.0,-95.0,bearish,0.7727272727272728,51.89696656956638,False,True,True,0.028740792845160512
