Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,EMA_9,SMA_50,RSI_14,MACD,MACD_SIGNAL,MACD_HIST,BB_MID,BB_UPPER,BB_LOWER,ATR_14,VOL_AVG_20,REL_VOLUME,VWAP,RETURN_1,REALIZED_VOL_20
2026-07-16 09:30:00-04:00,712.0,713.594970703125,711.2000122070312,711.2150268554688,711.2150268554688,2453922,0.0,0.0,0.0,711.2150268554688,,,0.0,0.0,0.0,,,,,,,712.0033365885416,,
2026-07-16 09:35:00-04:00,711.4400024414062,712.1699829101562,709.9299926757812,710.0999755859375,710.0999755859375,813479,0.0,0.0,0.0,710.9920166015625,,,-0.08894995882303647,-0.017789991764607296,-0.07115996705842917,,,,,,,711.6871420907552,-0.0015678117410725667,
2026-07-16 09:40:00-04:00,710.1182250976562,711.239990234375,708.22998046875,708.3900146484375,708.3900146484375,777343,0.0,0.0,0.0,710.4716162109376,,,-0.29403356307102513,-0.07303870602589087,-0.22099485704513427,,,,,,,711.2258034836129,-0.002408056606520881,
2026-07-16 09:45:00-04:00,708.4099731445312,709.02001953125,707.2000122070312,707.3699951171875,707.3699951171875,697809,0.0,0.0,0.0,709.8512919921876,,,-0.5327298701676,-0.1649769388542327,-0.3677529313133673,,,,,,,710.7310582089826,-0.0014399123507637945,
2026-07-16 09:50:00-04:00,707.3400268554688,709.3300170898438,707.2100219726562,707.8300170898438,707.8300170898438,584572,0.0,0.0,0.0,709.4470370117189,,,-0.6769747412117795,-0.26737649932574203,-0.40959824188603744,,,,,,,710.4449016040011,0.0006503272344482447,
2026-07-16 09:55:00-04:00,707.7999877929688,709.4600219726562,707.0,709.1749877929688,709.1749877929688,514466,0.0,0.0,0.0,709.3926271679688,,,-0.6749811824790868,-0.348897435956411,-0.3260837465226758,,,,,,,710.2775785059084,0.0019001323349561172,
2026-07-16 10:00:00-04:00,709.0900268554688,710.869873046875,708.6500244140625,710.4299926757812,710.4299926757812,583922,0.0,0.0,0.0,709.6001002695314,,,-0.5656128346151945,-0.3922405156881677,-0.17337231892702681,,,,,,,710.2508354873319,0.0017696688467796484,
2026-07-16 10:05:00-04:00,710.4500122070312,712.7650146484375,710.0800170898438,712.3800048828125,712.3800048828125,506752,0.0,0.0,0.0,710.1560811921877,,,-0.3179231229404422,-0.37737703713862264,0.05945391419818041,,,,,,,710.3598168762038,0.0027448337304660786,
2026-07-16 10:10:00-04:00,712.3800048828125,712.6900024414062,711.6099853515625,712.0850219726562,712.0850219726562,369519,0.0,0.0,0.0,710.5418693482814,,,-0.1437725767353868,-0.33065614505797547,0.18688356832258868,,,,,,,710.4493157761416,-0.0004140808390667994,
2026-07-16 10:15:00-04:00,712.1300048828125,712.9000244140625,711.5499877929688,712.4420166015625,712.4420166015625,421958,0.0,0.0,0.0,710.9218987989376,,,0.02278679683354312,-0.25996755667967175,0.2827543535132149,,,,,,,710.5502758864616,0.0005013370846045362,
2026-07-16 10:20:00-04:00,712.489990234375,712.6298828125,710.4099731445312,711.469970703125,711.469970703125,295712,0.0,0.0,0.0,711.0315131797752,,,0.07548023098695467,-0.19287799914634648,0.2683582301333012,,,,,,,710.5854171114757,-0.001364385979190641,
2026-07-16 10:25:00-04:00,711.3599853515625,712.5599975585938,710.611083984375,712.469970703125,712.469970703125,226662,0.0,0.0,0.0,711.3192046844451,,,0.19567616679398725,-0.11516716595827975,0.310843332752267,,,,,,,710.6210111108908,0.0014055406990849395,
2026-07-16 10:30:00-04:00,712.4749755859375,712.47998046875,711.4099731445312,711.989990234375,711.989990234375,309812,0.0,0.0,0.0,711.4533617944312,,,0.24932780370215823,-0.04226817202619215,0.2915959757283504,,,,,,,710.6694955098739,-0.0006736851916387954,
2026-07-16 10:35:00-04:00,711.9349975585938,713.0700073242188,711.6099853515625,711.7899780273438,711.7899780273438,242185,0.0,0.0,0.0,711.5206850410137,,,0.27256582973654986,0.02069862832635625,0.2518672014101936,,,,2.0761276287700325,,,710.7104324905106,-0.00028091997046952866,
2026-07-16 10:40:00-04:00,711.8355712890625,712.1699829101562,711.1199951171875,711.9949951171875,711.9949951171875,231679,0.0,0.0,0.0,711.6155470562485,,31.776989005228415,0.30402073673394625,0.07736305000787426,0.226657686726072,,,,2.002831926212798,,,710.7374039654624,0.0002880303125536443,
2026-07-16 10:45:00-04:00,712.010009765625,712.3099975585938,711.4299926757812,711.4400024414062,711.4400024414062,169929,0.0,0.0,0.0,711.58043813328,,30.342094957598192,0.2809273508522665,0.11807591017675272,0.16285144067551377,,,,1.922629994541348,,,710.7556766942427,-0.0007794895744877017,
2026-07-16 10:50:00-04:00,711.3900146484375,711.5,709.9362182617188,710.239990234375,710.239990234375,353504,0.0,0.0,0.0,711.3123485534991,,27.45529734582088,0.16390532145680936,0.12724179243276404,0.03666352902404532,,,,1.8969979762370555,,,710.7483891798462,-0.0016867370444636487,
2026-07-16 10:55:00-04:00,710.2050170898438,711.3499755859375,709.5900268554688,711.2650146484375,711.2650146484375,460643,0.0,0.0,0.0,711.3028817724869,,33.29341336862643,0.152121857708039,0.13221780548781903,0.01990405222021996,,,,1.8872087443964625,,,710.7477735328388,0.0014432085325473132,
2026-07-16 11:00:00-04:00,711.4099731445312,711.8599853515625,710.5900268554688,710.7249755859375,710.7249755859375,212310,0.0,0.0,0.0,711.187300535177,,31.83959484553192,0.09807617761771326,0.1253894799137979,-0.02731330229608464,,,,1.8431194409462688,,,710.7542211115286,-0.0007592656061776726,
2026-07-16 11:05:00-04:00,710.5599975585938,710.6699829101562,709.6599731445312,710.2899780273438,710.2899780273438,275133,0.0,0.0,0.0,711.0078360336104,,30.677560345379163,0.01991435888282922,0.10429445570760416,-0.08438009682477494,710.7545959472657,713.7513712487279,707.7578206458035,1.7875396552648388,525065.55,0.523997432320593,710.7398746796897,-0.0006120476605386838,
2026-07-16 11:10:00-04:00,710.260009765625,710.4899291992188,708.9199829101562,709.4500122070312,709.4500122070312,350222,0.0,0.0,0.0,710.6962712682946,,28.513536447883226,-0.10855629797299571,0.06172430497148419,-0.1702806029444799,710.6663452148438,713.7073151034111,707.6253753262764,1.7719972719646717,419880.55,0.8340991265253892,710.7037310688817,-0.0011825674672270026,0.022297616193489293
